,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF,percent_grliving,Percent_BsmtF,YrRemMinBui,YrSoldMinRem,isNew
0,20,RH,7.221213632878419,21.479372828258366,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,CBlock,TA,TA,No,Rec,11.105326135535595,LwQ,8.39749795772246,9.780688591938043,GasA,TA,Y,SBrkr,1.0,12.818680333426093,2,1,TA,5,Typ,0,No,Attchd,1961.0,Unf,1.0,12.259868090259067,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,14.81829394147256,1.0,9.693814389412918,0.5039370078740157,0.6938775510204082,0,49,1.0
1,20,RL,7.244955797756471,22.327220387827868,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,7.808145364123843,TA,TA,CBlock,TA,TA,No,ALQ,12.90109430269474,Unf,1.0,10.752378680578557,GasA,TA,Y,SBrkr,1.0,13.943734908279543,3,1,Gd,6,Typ,0,No,Attchd,1958.0,Unf,1.0,10.118180873967548,TA,TA,Y,1.0,21.777525663502885,6,2010,WD,Normal,16.091209042711313,1.5,10.888326631702043,0.5,0.6945071482317532,0,52,1.0
2,60,RL,7.07328940298831,22.196904540765747,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,PConc,Gd,TA,No,GLQ,12.476684989266225,Unf,1.0,8.293500021268775,GasA,Gd,Y,SBrkr,1.0,14.551272320032991,3,1,TA,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,11.179489042314811,TA,TA,Y,1.0,1.0,3,2010,WD,Normal,15.9651912623117,2.5,9.567309925236039,0.6370746969104419,0.8523706896551724,1,12,0.0
3,60,RL,7.172972078519893,20.865443648450725,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,4.858806663498184,TA,TA,PConc,TA,TA,No,GLQ,11.749651012129235,Unf,1.0,10.207511306740143,GasA,Ex,Y,SBrkr,1.0,14.504452562475894,3,1,Gd,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,11.11603509640564,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,15.930787583759244,2.5,10.69122459677165,0.6339920948616601,0.6501079913606912,0,12,1.0
4,120,RL,6.093856518007759,18.257254779064006,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,1.0,Gd,TA,PConc,Gd,TA,No,ALQ,9.720169513164583,Unf,1.0,13.172899929850288,GasA,Ex,Y,SBrkr,1.0,13.83362514523021,2,1,Gd,5,Typ,0,No,Attchd,1992.0,RFn,2.0,11.302477323271576,TA,TA,Y,1.0,1.0,1,2010,WD,Normal,15.96899481494184,2.0,9.375577002227507,0.5,0.20546875,0,18,1.0
5,60,RL,7.098626104970388,20.874209460485194,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.378992261536109,GasA,Gd,Y,SBrkr,1.0,14.599321783774355,3,1,TA,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,10.951171656935063,TA,TA,Y,1.0,1.0,4,2010,WD,Normal,15.784658257167663,2.5,9.520649910578081,0.684449958643507,0.0,1,16,0.0
6,20,RL,1.0,19.99101056901641,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,Gd,PConc,Gd,TA,No,ALQ,12.937067204936257,Unf,1.0,9.444260751716477,GasA,Ex,Y,SBrkr,1.0,13.614406694149686,3,1,TA,6,Typ,0,No,Attchd,1992.0,Fin,2.0,10.835883259370169,TA,TA,Y,1.0,11.272201962485878,3,2010,WD,Normal,15.699914348535659,3.0,11.292419534723528,0.5040339702760085,0.800513698630137,15,3,0.0
7,60,RL,6.7737732204907655,20.19008089633962,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.469805120302338,GasA,Gd,Y,SBrkr,1.0,14.232222656225794,3,1,TA,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,10.672623079178159,TA,TA,Y,1.0,1.0,5,2010,WD,Normal,15.559947353864503,2.5,7.098626104970388,0.6499556344276841,0.0,0,12,1.0
8,20,RL,7.337529394588084,20.94375198044922,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,TA,PConc,Gd,TA,Gd,GLQ,11.897673633652223,Unf,1.0,12.003227684290522,GasA,Gd,Y,SBrkr,1.0,13.970174092588287,2,1,Gd,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,11.302477323271576,TA,TA,Y,1.0,1.0,2,2010,WD,Normal,16.07028616317055,2.5,9.013883697367245,0.5077622112836047,0.49,0,20,1.0
9,20,RL,6.968980585391403,20.189157677365337,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,1.0,TA,TA,CBlock,TA,TA,No,ALQ,12.521047611844585,Rec,7.172972078519893,1.0,GasA,TA,Y,SBrkr,1.0,12.775113743156055,2,1,TA,4,Typ,0,No,Attchd,1970.0,Fin,2.0,11.396380943459564,TA,TA,Y,1.0,1.0,4,2010,WD,Normal,14.794031435686074,2.0,9.511219710154148,0.5,1.0,0,40,1.0
10,120,RH,5.2631607783924865,18.828605296142463,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,13.2659700619696,BLQ,1.0,10.41914552756971,GasA,Ex,Y,SBrkr,1.0,13.961383438999036,2,1,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,11.327475030923495,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,16.19295353614259,3.0,9.789225410028124,0.487600291757841,0.7480427046263345,0,11,1.0
11,160,RM,4.932510294066555,14.644922232663887,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,11.292419534723528,TA,TA,CBlock,TA,TA,No,Rec,8.566242862974532,Unf,1.0,10.2294051976266,GasA,TA,Y,SBrkr,1.0,13.088558507481578,2,1,TA,5,Typ,0,No,Detchd,1971.0,Unf,1.0,9.72889799237455,TA,TA,Y,1.0,1.0,2,2010,COD,Normal,14.242388126529248,1.5,9.823108115244976,0.6714285714285714,0.32298136645962733,0,39,1.0
12,160,RM,4.932510294066555,14.644922232663887,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,11.231351739686412,TA,TA,CBlock,TA,TA,No,Rec,10.025890350388508,Unf,1.0,9.365618533147526,GasA,TA,Y,SBrkr,1.0,13.374859997919224,3,1,TA,6,Typ,0,No,Detchd,1997.0,Unf,1.0,10.178050664421775,TA,TA,Y,1.0,1.0,3,2010,WD,Normal,14.528875586728695,1.5,1.0,0.6753246753246753,0.5714285714285714,0,39,1.0
13,160,RL,5.137710644618417,15.596479946560919,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,1.0,TA,TA,CBlock,TA,TA,No,ALQ,11.342374227330055,Unf,1.0,10.329379793154162,GasA,TA,Y,SBrkr,1.0,14.213850311239472,3,1,Gd,6,Typ,1,TA,Attchd,1975.0,Unf,2.0,10.951171656935063,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,15.639578272047995,2.5,8.787435767854006,0.6300302899177845,0.6011695906432749,0,35,1.0
14,120,RL,5.137710644618417,15.596479946560919,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,1.0,TA,TA,CBlock,Gd,TA,No,Unf,1.0,Unf,1.0,12.627707599932261,GasA,Ex,Y,SBrkr,1.0,12.627707599932261,2,1,TA,4,Typ,0,No,Attchd,1975.0,Unf,1.0,10.087756729969003,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,14.630393172192896,1.0,5.492017742920502,0.5,0.0,0,35,1.0
15,60,RL,7.694190605394483,21.894006463713595,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,8.646538007903064,Ex,TA,PConc,Ex,TA,No,Unf,1.0,Unf,1.0,14.4779620743407,GasA,Ex,Y,SBrkr,1.0,15.67123815821452,3,1,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,12.336189720426251,TA,TA,Y,1.0,1.0,1,2010,New,Partial,17.399992052677625,2.5,9.839893205289536,0.5948012232415902,0.0,1,0,0.0
