,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF
0,20,RH,7.221213632878419,21.479372828258366,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,15.121375611147648,15.121375611147648,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,CBlock,TA,TA,No,Rec,11.105326135535595,LwQ,8.39749795772246,9.780688591938043,GasA,TA,Y,SBrkr,1.0,12.818680333426093,2.194317637875777,1.7304631471189666,TA,3.055641538058108,Typ,1.0,No,Attchd,1961.0,Unf,1.7304631471189666,12.259868090259067,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,14.81829394147256,1.7304631471189666,9.693814389412918
1,20,RL,7.244955797756471,22.327220387827868,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,15.116604610212223,15.116604610212223,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,7.808145364123843,TA,TA,CBlock,TA,TA,No,ALQ,12.90109430269474,Unf,1.0,10.752378680578557,GasA,TA,Y,SBrkr,1.0,13.943734908279543,2.5409627556327754,1.7304631471189666,Gd,3.2596737867230705,Typ,1.0,No,Attchd,1958.0,Unf,1.7304631471189666,10.118180873967548,TA,TA,Y,1.0,21.777525663502885,3.2596737867230705,15.198437226858903,WD,Normal,16.091209042711313,1.9822467037532343,10.888326631702043
2,60,RL,7.07328940298831,22.196904540765747,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,15.178149219316415,15.179713812657004,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,PConc,Gd,TA,No,GLQ,12.476684989266225,Unf,1.0,8.293500021268775,GasA,Gd,Y,SBrkr,1.0,14.551272320032991,2.5409627556327754,1.7304631471189666,TA,3.2596737867230705,Typ,1.7304631471189666,TA,Attchd,1997.0,Fin,2.194317637875777,11.179489042314811,TA,TA,Y,1.0,1.0,2.5409627556327754,15.198437226858903,WD,Normal,15.9651912623117,2.3782017963726023,9.567309925236039
3,60,RL,7.172972078519893,20.865443648450725,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,15.179713812657004,15.179713812657004,Gable,CompShg,VinylSd,VinylSd,BrkFace,4.858806663498184,TA,TA,PConc,TA,TA,No,GLQ,11.749651012129235,Unf,1.0,10.207511306740143,GasA,Ex,Y,SBrkr,1.0,14.504452562475894,2.5409627556327754,1.7304631471189666,Gd,3.440268378362637,Typ,1.7304631471189666,Gd,Attchd,1998.0,Fin,2.194317637875777,11.11603509640564,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,15.930787583759244,2.3782017963726023,10.69122459677165
4,120,RL,6.093856518007759,18.257254779064006,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,15.170316253871071,15.170316253871071,Gable,CompShg,HdBoard,HdBoard,None,1.0,Gd,TA,PConc,Gd,TA,No,ALQ,9.720169513164583,Unf,1.0,13.172899929850288,GasA,Ex,Y,SBrkr,1.0,13.83362514523021,2.194317637875777,1.7304631471189666,Gd,3.055641538058108,Typ,1.0,No,Attchd,1992.0,RFn,2.194317637875777,11.302477323271576,TA,TA,Y,1.0,1.0,1.7304631471189666,15.198437226858903,WD,Normal,15.96899481494184,2.194317637875777,9.375577002227507
5,60,RL,7.098626104970388,20.874209460485194,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,15.171884182186483,15.173451442269636,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.378992261536109,GasA,Gd,Y,SBrkr,1.0,14.599321783774355,2.5409627556327754,1.7304631471189666,TA,3.440268378362637,Typ,1.7304631471189666,TA,Attchd,1993.0,Fin,2.194317637875777,10.951171656935063,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,WD,Normal,15.784658257167663,2.3782017963726023,9.520649910578081
6,20,RL,1.0,19.99101056901641,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,15.170316253871071,15.193765294899782,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,Gd,PConc,Gd,TA,No,ALQ,12.937067204936257,Unf,1.0,9.444260751716477,GasA,Ex,Y,SBrkr,1.0,13.614406694149686,2.5409627556327754,1.7304631471189666,TA,3.2596737867230705,Typ,1.0,No,Attchd,1992.0,Fin,2.194317637875777,10.835883259370169,TA,TA,Y,1.0,11.272201962485878,2.5409627556327754,15.198437226858903,WD,Normal,15.699914348535659,2.5409627556327754,11.292419534723528
7,60,RL,6.7737732204907655,20.19008089633962,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,15.179713812657004,15.179713812657004,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.469805120302338,GasA,Gd,Y,SBrkr,1.0,14.232222656225794,2.5409627556327754,1.7304631471189666,TA,3.440268378362637,Typ,1.7304631471189666,Gd,Attchd,1998.0,Fin,2.194317637875777,10.672623079178159,TA,TA,Y,1.0,1.0,3.055641538058108,15.198437226858903,WD,Normal,15.559947353864503,2.3782017963726023,7.098626104970388
8,20,RL,7.337529394588084,20.94375198044922,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,15.1671783900609,15.1671783900609,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,TA,PConc,Gd,TA,Gd,GLQ,11.897673633652223,Unf,1.0,12.003227684290522,GasA,Gd,Y,SBrkr,1.0,13.970174092588287,2.194317637875777,1.7304631471189666,Gd,3.055641538058108,Typ,1.7304631471189666,Po,Attchd,1990.0,Unf,2.194317637875777,11.302477323271576,TA,TA,Y,1.0,1.0,2.194317637875777,15.198437226858903,WD,Normal,16.07028616317055,2.3782017963726023,9.013883697367245
9,20,RL,6.968980585391403,20.189157677365337,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,15.135651502935826,15.135651502935826,Gable,CompShg,Plywood,Plywood,None,1.0,TA,TA,CBlock,TA,TA,No,ALQ,12.521047611844585,Rec,7.172972078519893,1.0,GasA,TA,Y,SBrkr,1.0,12.775113743156055,2.194317637875777,1.7304631471189666,TA,2.820334103642824,Typ,1.0,No,Attchd,1970.0,Fin,2.194317637875777,11.396380943459564,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,WD,Normal,14.794031435686074,2.194317637875777,9.511219710154148
10,120,RH,5.2631607783924865,18.828605296142463,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,15.18127774085417,15.18127774085417,Gable,CompShg,MetalSd,MetalSd,None,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,13.2659700619696,BLQ,1.0,10.41914552756971,GasA,Ex,Y,SBrkr,1.0,13.961383438999036,2.194317637875777,1.7304631471189666,Gd,3.055641538058108,Typ,1.7304631471189666,Fa,Attchd,1999.0,Fin,2.194317637875777,11.327475030923495,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,16.19295353614259,2.5409627556327754,9.789225410028124
11,160,RM,4.932510294066555,14.644922232663887,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,15.13723429091449,15.13723429091449,Gable,CompShg,HdBoard,HdBoard,BrkFace,11.292419534723528,TA,TA,CBlock,TA,TA,No,Rec,8.566242862974532,Unf,1.0,10.2294051976266,GasA,TA,Y,SBrkr,1.0,13.088558507481578,2.194317637875777,1.7304631471189666,TA,3.055641538058108,Typ,1.0,No,Detchd,1971.0,Unf,1.7304631471189666,9.72889799237455,TA,TA,Y,1.0,1.0,2.194317637875777,15.198437226858903,COD,Normal,14.242388126529248,1.9822467037532343,9.823108115244976
12,160,RM,4.932510294066555,14.644922232663887,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,15.13723429091449,15.13723429091449,Gable,CompShg,HdBoard,HdBoard,BrkFace,11.231351739686412,TA,TA,CBlock,TA,TA,No,Rec,10.025890350388508,Unf,1.0,9.365618533147526,GasA,TA,Y,SBrkr,1.0,13.374859997919224,2.5409627556327754,1.7304631471189666,TA,3.2596737867230705,Typ,1.0,No,Detchd,1997.0,Unf,1.7304631471189666,10.178050664421775,TA,TA,Y,1.0,1.0,2.5409627556327754,15.198437226858903,WD,Normal,14.528875586728695,1.9822467037532343,1.0
13,160,RL,5.137710644618417,15.596479946560919,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,15.143558628326556,15.143558628326556,Gable,CompShg,Plywood,Brk Cmn,None,1.0,TA,TA,CBlock,TA,TA,No,ALQ,11.342374227330055,Unf,1.0,10.329379793154162,GasA,TA,Y,SBrkr,1.0,14.213850311239472,2.5409627556327754,1.7304631471189666,Gd,3.2596737867230705,Typ,1.7304631471189666,TA,Attchd,1975.0,Unf,2.194317637875777,10.951171656935063,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,15.639578272047995,2.3782017963726023,8.787435767854006
14,120,RL,5.137710644618417,15.596479946560919,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,15.143558628326556,15.143558628326556,Gable,CompShg,Plywood,Brk Cmn,None,1.0,TA,TA,CBlock,Gd,TA,No,Unf,1.0,Unf,1.0,12.627707599932261,GasA,Ex,Y,SBrkr,1.0,12.627707599932261,2.194317637875777,1.7304631471189666,TA,2.820334103642824,Typ,1.0,No,Attchd,1975.0,Unf,1.7304631471189666,10.087756729969003,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,14.630393172192896,1.7304631471189666,5.492017742920502
