,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF,percent_grliving,Percent_BsmtF,YrRemMinBui,YrSoldMinRem,isNew,ylogSalePrice
0,60,RL,6.831327892742091,20.212182313188084,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.059125775508376,Gd,TA,PConc,Gd,TA,No,GLQ,12.170326790619496,Unf,1.0,8.483295642295591,GasA,Ex,Y,SBrkr,1.0,14.698887979000148,3,1,Gd,8,Typ,0,No,Attchd,2003.0,RFn,2.0,11.506270963009685,TA,TA,Y,1.0,1.0,2,2008,WD,Normal,15.976590572395713,3.5,6.7146689026506605,0.666406858924396,0.8247663551401869,0,5,1.0,12.24769911637256
1,20,RL,7.221213632878419,20.71220477890197,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,13.062831653433358,Unf,1.0,9.897843946804546,GasA,Ex,Y,SBrkr,1.0,13.792276226358874,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2.0,11.06209830903299,TA,TA,Y,1.0,1.0,5,2007,WD,Normal,15.923099981574879,2.5,10.010205578972315,0.5,0.7749603803486529,0,31,1.0,12.109016442313738
2,60,RL,6.914940018959451,21.347240908682487,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,8.646538007903064,Gd,TA,PConc,Gd,TA,Mn,GLQ,11.200342662007953,Unf,1.0,10.917059938656934,GasA,Ex,Y,SBrkr,1.0,14.83208545463177,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2.0,11.775536258885502,TA,TA,Y,1.0,1.0,9,2008,WD,Normal,16.149677653282357,3.5,6.0533710494211155,0.6600147819660015,0.5282608695652173,1,6,0.0,12.317171167298682
3,70,RL,6.684506656824126,20.691552676807884,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,1.0,TA,TA,BrkTil,TA,Gd,No,ALQ,9.274265741119429,Unf,1.0,11.468499910096941,GasA,Gd,Y,SBrkr,1.0,14.711364159471431,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3.0,11.918252927785405,TA,TA,Y,1.0,1.0,2,2006,WD,Abnorml,15.857120810745197,2.0,10.080098411791417,0.694298422968055,0.2857142857142857,55,36,0.0,11.849404844423074
4,60,RL,7.314734756825906,22.32515985291932,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,10.391827134755262,Gd,TA,PConc,Gd,TA,Av,GLQ,11.971129399749735,Unf,1.0,11.221051196470764,GasA,Ex,Y,SBrkr,1.0,15.480029495615659,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3.0,12.627707599932261,TA,TA,Y,1.0,1.0,12,2008,WD,Normal,16.8523115733325,3.5,9.831513536945508,0.6574932695183966,0.5720524017467249,0,8,1.0,12.429220196836383
5,50,RL,7.337529394588084,22.282282796539835,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,Wood,Gd,TA,No,GLQ,12.267216541031873,Unf,1.0,6.80273872401839,GasA,Ex,Y,SBrkr,1.0,14.015962914755876,1,1,TA,5,Typ,0,No,Attchd,1993.0,Unf,2.0,11.169007130464756,TA,TA,Y,1.0,12.147538247731708,10,2009,WD,Normal,15.421879332825283,2.5,10.65390077895301,0.6311399443929564,0.9195979899497487,2,14,0.0,11.870606902224587
6,20,RL,7.098626104970388,20.907528872852918,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,8.944502934774821,Gd,TA,PConc,Ex,TA,Av,GLQ,14.031092624489567,Unf,1.0,10.15574970587587,GasA,Ex,Y,SBrkr,1.0,14.670207259396387,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2.0,11.89354133302396,TA,TA,Y,1.0,1.0,8,2007,WD,Normal,16.889511511710907,3.0,10.118180873967548,0.5011834319526627,0.8119810201660735,1,2,0.0,12.634606283893019
7,60,RL,1.0,21.023861568757013,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,9.511219710154148,TA,TA,CBlock,Gd,TA,Mn,ALQ,12.702248507491014,BLQ,5.597156711708115,9.274265741119429,GasA,Ex,Y,SBrkr,1.0,15.320888266014626,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,11.189934126006927,TA,TA,Y,1.0,10.391827134755262,11,2009,WD,Normal,16.702021223515466,3.5,12.019153728720793,0.6537378792618079,0.8048780487804879,0,36,1.0,12.206077645517674
8,50,RM,6.392276337227255,18.98987134386776,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,1.0,TA,TA,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,12.987363555250518,GasA,Gd,Y,FuseF,1.0,14.811378405864021,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2.0,11.105326135535595,Fa,TA,Y,1.0,1.0,4,2008,WD,Abnorml,16.173779778858886,2.0,9.986510387427588,0.6507703595011005,0.0,19,58,0.0,11.774527900858468
9,190,RL,6.357203202420049,19.712543705168287,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,BrkTil,TA,TA,No,GLQ,12.676515545860786,Unf,1.0,8.338607270038526,GasA,Ex,Y,SBrkr,1.0,13.335431399519656,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1.0,9.158132683068054,Gd,TA,Y,1.0,1.0,1,2008,WD,Normal,15.287616792935944,2.0,2.820334103642824,0.5207930367504836,0.858728557013118,11,58,0.0,11.678448377988165
